date,product_code,product,variant,sold_quantity,gross_price_per_item,gross_price_total
2021-05-01,A0118150104,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Premium Plus",93,22.9729,2136.4797
2021-06-01,A0118150104,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Premium Plus",126,22.9729,2894.5854
2021-08-01,A0118150104,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Premium Plus",29,22.9729,666.2141
2020-09-01,A0219150201,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Standard,149,23.6987,3531.1063
2020-10-01,A0219150201,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Standard,164,23.6987,3886.5868
2020-12-01,A0219150201,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Standard,362,23.6987,8578.9294
2021-01-01,A0219150201,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Standard,161,23.6987,3815.4907
2021-02-01,A0219150201,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Standard,112,23.6987,2654.2544
2021-04-01,A0219150201,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Standard,81,23.6987,1919.5947
2021-05-01,A0219150201,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Standard,197,23.6987,4668.6439
2021-06-01,A0219150201,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Standard,40,23.6987,947.9480
2021-08-01,A0219150201,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Standard,95,23.6987,2251.3765
2020-09-01,A0219150202,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Plus,107,24.7312,2646.2384
2020-10-01,A0219150202,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Plus,97,24.7312,2398.9264
2020-12-01,A0219150202,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Plus,409,24.7312,10115.0608
2021-01-01,A0219150202,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Plus,241,24.7312,5960.2192
2021-02-01,A0219150202,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Plus,155,24.7312,3833.3360
2021-04-01,A0219150202,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Plus,38,24.7312,939.7856
2021-05-01,A0219150202,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Plus,246,24.7312,6083.8752
2021-06-01,A0219150202,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Plus,102,24.7312,2522.5824
2021-08-01,A0219150202,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Plus,117,24.7312,2893.5504
2020-09-01,A0220150203,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Premium,123,23.6154,2904.6942
2020-10-01,A0220150203,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Premium,306,23.6154,7226.3124
2020-12-01,A0220150203,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Premium,121,23.6154,2857.4634
2021-01-01,A0220150203,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Premium,41,23.6154,968.2314
2021-02-01,A0220150203,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Premium,121,23.6154,2857.4634
2021-04-01,A0220150203,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Premium,188,23.6154,4439.6952
2021-05-01,A0220150203,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Premium,225,23.6154,5313.4650
2021-06-01,A0220150203,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Premium,31,23.6154,732.0774
2021-08-01,A0220150203,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Premium,54,23.6154,1275.2316
2020-09-01,A0320150301,"AQ Zion Saga",Standard,146,23.7223,3463.4558
2020-10-01,A0320150301,"AQ Zion Saga",Standard,205,23.7223,4863.0715
2020-12-01,A0320150301,"AQ Zion Saga",Standard,364,23.7223,8634.9172
2021-01-01,A0320150301,"AQ Zion Saga",Standard,121,23.7223,2870.3983
2021-02-01,A0320150301,"AQ Zion Saga",Standard,184,23.7223,4364.9032
2021-04-01,A0320150301,"AQ Zion Saga",Standard,232,23.7223,5503.5736
2021-05-01,A0320150301,"AQ Zion Saga",Standard,223,23.7223,5290.0729
2021-06-01,A0320150301,"AQ Zion Saga",Standard,91,23.7223,2158.7293
2021-08-01,A0320150301,"AQ Zion Saga",Standard,243,23.7223,5764.5189
2020-09-01,A0321150302,"AQ Zion Saga",Plus,236,27.1027,6396.2372
2020-10-01,A0321150302,"AQ Zion Saga",Plus,135,27.1027,3658.8645
2020-12-01,A0321150302,"AQ Zion Saga",Plus,339,27.1027,9187.8153
2021-01-01,A0321150302,"AQ Zion Saga",Plus,164,27.1027,4444.8428
2021-02-01,A0321150302,"AQ Zion Saga",Plus,42,27.1027,1138.3134
2021-04-01,A0321150302,"AQ Zion Saga",Plus,86,27.1027,2330.8322
2021-05-01,A0321150302,"AQ Zion Saga",Plus,186,27.1027,5041.1022
2021-06-01,A0321150302,"AQ Zion Saga",Plus,70,27.1027,1897.1890
2021-08-01,A0321150302,"AQ Zion Saga",Plus,75,27.1027,2032.7025
2020-09-01,A0321150303,"AQ Zion Saga",Premium,137,28.0059,3836.8083
2020-10-01,A0321150303,"AQ Zion Saga",Premium,249,28.0059,6973.4691
2020-12-01,A0321150303,"AQ Zion Saga",Premium,275,28.0059,7701.6225
2021-01-01,A0321150303,"AQ Zion Saga",Premium,172,28.0059,4817.0148
2021-02-01,A0321150303,"AQ Zion Saga",Premium,119,28.0059,3332.7021
2021-04-01,A0321150303,"AQ Zion Saga",Premium,95,28.0059,2660.5605
2021-05-01,A0321150303,"AQ Zion Saga",Premium,84,28.0059,2352.4956
2021-06-01,A0321150303,"AQ Zion Saga",Premium,145,28.0059,4060.8555
2021-08-01,A0321150303,"AQ Zion Saga",Premium,151,28.0059,4228.8909
2020-09-01,A0418150103,"AQ Mforce Gen X","Standard 3",23,19.5235,449.0405
2020-10-01,A0418150103,"AQ Mforce Gen X","Standard 3",220,19.5235,4295.1700
2020-12-01,A0418150103,"AQ Mforce Gen X","Standard 3",230,19.5235,4490.4050
2021-01-01,A0418150103,"AQ Mforce Gen X","Standard 3",133,19.5235,2596.6255
2021-02-01,A0418150103,"AQ Mforce Gen X","Standard 3",68,19.5235,1327.5980
2021-04-01,A0418150103,"AQ Mforce Gen X","Standard 3",33,19.5235,644.2755
2021-05-01,A0418150103,"AQ Mforce Gen X","Standard 3",58,19.5235,1132.3630
2021-06-01,A0418150103,"AQ Mforce Gen X","Standard 3",108,19.5235,2108.5380
2021-08-01,A0418150103,"AQ Mforce Gen X","Standard 3",140,19.5235,2733.2900
2020-09-01,A0418150104,"AQ Mforce Gen X","Plus 1",82,19.9239,1633.7598
2020-10-01,A0418150104,"AQ Mforce Gen X","Plus 1",226,19.9239,4502.8014
2020-12-01,A0418150104,"AQ Mforce Gen X","Plus 1",110,19.9239,2191.6290
2021-01-01,A0418150104,"AQ Mforce Gen X","Plus 1",155,19.9239,3088.2045
2021-02-01,A0418150104,"AQ Mforce Gen X","Plus 1",96,19.9239,1912.6944
2021-04-01,A0418150104,"AQ Mforce Gen X","Plus 1",32,19.9239,637.5648
2021-05-01,A0418150104,"AQ Mforce Gen X","Plus 1",48,19.9239,956.3472
2021-06-01,A0418150104,"AQ Mforce Gen X","Plus 1",76,19.9239,1514.2164
2021-08-01,A0418150104,"AQ Mforce Gen X","Plus 1",166,19.9239,3307.3674
2020-09-01,A0418150105,"AQ Mforce Gen X","Plus 2",86,20.0766,1726.5876
2020-10-01,A0418150105,"AQ Mforce Gen X","Plus 2",248,20.0766,4978.9968
2020-12-01,A0418150105,"AQ Mforce Gen X","Plus 2",329,20.0766,6605.2014
2021-01-01,A0418150105,"AQ Mforce Gen X","Plus 2",176,20.0766,3533.4816
2021-02-01,A0418150105,"AQ Mforce Gen X","Plus 2",130,20.0766,2609.9580
2021-04-01,A0418150105,"AQ Mforce Gen X","Plus 2",186,20.0766,3734.2476
2021-05-01,A0418150105,"AQ Mforce Gen X","Plus 2",190,20.0766,3814.5540
2021-06-01,A0418150105,"AQ Mforce Gen X","Plus 2",84,20.0766,1686.4344
2021-08-01,A0418150105,"AQ Mforce Gen X","Plus 2",163,20.0766,3272.4858
2020-09-01,A0418150106,"AQ Mforce Gen X","Plus 3",48,19.9365,956.9520
2020-10-01,A0418150106,"AQ Mforce Gen X","Plus 3",75,19.9365,1495.2375
2020-12-01,A0418150106,"AQ Mforce Gen X","Plus 3",248,19.9365,4944.2520
2021-01-01,A0418150106,"AQ Mforce Gen X","Plus 3",121,19.9365,2412.3165
2021-02-01,A0418150106,"AQ Mforce Gen X","Plus 3",176,19.9365,3508.8240
2021-04-01,A0418150106,"AQ Mforce Gen X","Plus 3",88,19.9365,1754.4120
2021-05-01,A0418150106,"AQ Mforce Gen X","Plus 3",76,19.9365,1515.1740
2021-06-01,A0418150106,"AQ Mforce Gen X","Plus 3",114,19.9365,2272.7610
2021-08-01,A0418150106,"AQ Mforce Gen X","Plus 3",65,19.9365,1295.8725
2020-09-01,A0519150201,"AQ Mforce Gen Y","Standard 1",138,22.3984,3090.9792
2020-10-01,A0519150201,"AQ Mforce Gen Y","Standard 1",82,22.3984,1836.6688
2020-12-01,A0519150201,"AQ Mforce Gen Y","Standard 1",126,22.3984,2822.1984
2021-01-01,A0519150201,"AQ Mforce Gen Y","Standard 1",81,22.3984,1814.2704
2021-02-01,A0519150201,"AQ Mforce Gen Y","Standard 1",64,22.3984,1433.4976
2021-04-01,A0519150201,"AQ Mforce Gen Y","Standard 1",50,22.3984,1119.9200
2021-05-01,A0519150201,"AQ Mforce Gen Y","Standard 1",134,22.3984,3001.3856
2021-06-01,A0519150201,"AQ Mforce Gen Y","Standard 1",58,22.3984,1299.1072
2021-08-01,A0519150201,"AQ Mforce Gen Y","Standard 1",187,22.3984,4188.5008
2020-09-01,A0519150202,"AQ Mforce Gen Y","Standard 2",72,24.9298,1794.9456
2020-10-01,A0519150202,"AQ Mforce Gen Y","Standard 2",49,24.9298,1221.5602
2020-12-01,A0519150202,"AQ Mforce Gen Y","Standard 2",174,24.9298,4337.7852
2021-01-01,A0519150202,"AQ Mforce Gen Y","Standard 2",65,24.9298,1620.4370
2021-02-01,A0519150202,"AQ Mforce Gen Y","Standard 2",50,24.9298,1246.4900
2021-04-01,A0519150202,"AQ Mforce Gen Y","Standard 2",151,24.9298,3764.3998
2021-05-01,A0519150202,"AQ Mforce Gen Y","Standard 2",91,24.9298,2268.6118
2021-06-01,A0519150202,"AQ Mforce Gen Y","Standard 2",107,24.9298,2667.4886
2021-08-01,A0519150202,"AQ Mforce Gen Y","Standard 2",167,24.9298,4163.2766
2020-09-01,A0519150203,"AQ Mforce Gen Y","Standard 3",38,26.5871,1010.3098
2020-10-01,A0519150203,"AQ Mforce Gen Y","Standard 3",193,26.5871,5131.3103
2020-12-01,A0519150203,"AQ Mforce Gen Y","Standard 3",356,26.5871,9465.0076
2021-01-01,A0519150203,"AQ Mforce Gen Y","Standard 3",144,26.5871,3828.5424
2021-02-01,A0519150203,"AQ Mforce Gen Y","Standard 3",156,26.5871,4147.5876
2021-04-01,A0519150203,"AQ Mforce Gen Y","Standard 3",31,26.5871,824.2001
2021-05-01,A0519150203,"AQ Mforce Gen Y","Standard 3",122,26.5871,3243.6262
2021-06-01,A0519150203,"AQ Mforce Gen Y","Standard 3",156,26.5871,4147.5876
2021-08-01,A0519150203,"AQ Mforce Gen Y","Standard 3",93,26.5871,2472.6003
2020-09-01,A0519150204,"AQ Mforce Gen Y","Plus 1",149,26.1081,3890.1069
2020-10-01,A0519150204,"AQ Mforce Gen Y","Plus 1",193,26.1081,5038.8633
2020-12-01,A0519150204,"AQ Mforce Gen Y","Plus 1",101,26.1081,2636.9181
2021-01-01,A0519150204,"AQ Mforce Gen Y","Plus 1",114,26.1081,2976.3234
2021-02-01,A0519150204,"AQ Mforce Gen Y","Plus 1",80,26.1081,2088.6480
2021-04-01,A0519150204,"AQ Mforce Gen Y","Plus 1",174,26.1081,4542.8094
2021-05-01,A0519150204,"AQ Mforce Gen Y","Plus 1",178,26.1081,4647.2418
2021-06-01,A0519150204,"AQ Mforce Gen Y","Plus 1",78,26.1081,2036.4318
2021-08-01,A0519150204,"AQ Mforce Gen Y","Plus 1",135,26.1081,3524.5935
2020-09-01,A0519150205,"AQ Mforce Gen Y","Plus 2",29,29.7008,861.3232
2020-10-01,A0519150205,"AQ Mforce Gen Y","Plus 2",216,29.7008,6415.3728
2020-12-01,A0519150205,"AQ Mforce Gen Y","Plus 2",178,29.7008,5286.7424
2021-01-01,A0519150205,"AQ Mforce Gen Y","Plus 2",166,29.7008,4930.3328
2021-02-01,A0519150205,"AQ Mforce Gen Y","Plus 2",108,29.7008,3207.6864
2021-04-01,A0519150205,"AQ Mforce Gen Y","Plus 2",70,29.7008,2079.0560
2021-05-01,A0519150205,"AQ Mforce Gen Y","Plus 2",138,29.7008,4098.7104
2021-06-01,A0519150205,"AQ Mforce Gen Y","Plus 2",144,29.7008,4276.9152
2021-08-01,A0519150205,"AQ Mforce Gen Y","Plus 2",82,29.7008,2435.4656
2020-09-01,A0519150206,"AQ Mforce Gen Y","Plus 3",28,31.2439,874.8292
2020-10-01,A0519150206,"AQ Mforce Gen Y","Plus 3",136,31.2439,4249.1704
2020-12-01,A0519150206,"AQ Mforce Gen Y","Plus 3",125,31.2439,3905.4875
2021-01-01,A0519150206,"AQ Mforce Gen Y","Plus 3",120,31.2439,3749.2680
2021-02-01,A0519150206,"AQ Mforce Gen Y","Plus 3",109,31.2439,3405.5851
2021-04-01,A0519150206,"AQ Mforce Gen Y","Plus 3",64,31.2439,1999.6096
2021-05-01,A0519150206,"AQ Mforce Gen Y","Plus 3",104,31.2439,3249.3656
2021-06-01,A0519150206,"AQ Mforce Gen Y","Plus 3",161,31.2439,5030.2679
2021-08-01,A0519150206,"AQ Mforce Gen Y","Plus 3",196,31.2439,6123.8044
2020-09-01,A0519150207,"AQ Mforce Gen Y","Premium 1",171,32.4427,5547.7017
2020-10-01,A0519150207,"AQ Mforce Gen Y","Premium 1",123,32.4427,3990.4521
2020-12-01,A0519150207,"AQ Mforce Gen Y","Premium 1",48,32.4427,1557.2496
2021-01-01,A0519150207,"AQ Mforce Gen Y","Premium 1",20,32.4427,648.8540
2021-02-01,A0519150207,"AQ Mforce Gen Y","Premium 1",176,32.4427,5709.9152
2021-04-01,A0519150207,"AQ Mforce Gen Y","Premium 1",119,32.4427,3860.6813
2021-05-01,A0519150207,"AQ Mforce Gen Y","Premium 1",43,32.4427,1395.0361
2021-06-01,A0519150207,"AQ Mforce Gen Y","Premium 1",126,32.4427,4087.7802
2021-08-01,A0519150207,"AQ Mforce Gen Y","Premium 1",105,32.4427,3406.4835
2020-09-01,A0519150208,"AQ Mforce Gen Y","Premium 2",118,30.5816,3608.6288
2020-10-01,A0519150208,"AQ Mforce Gen Y","Premium 2",219,30.5816,6697.3704
2020-12-01,A0519150208,"AQ Mforce Gen Y","Premium 2",184,30.5816,5627.0144
2021-01-01,A0519150208,"AQ Mforce Gen Y","Premium 2",72,30.5816,2201.8752
2021-02-01,A0519150208,"AQ Mforce Gen Y","Premium 2",118,30.5816,3608.6288
2021-04-01,A0519150208,"AQ Mforce Gen Y","Premium 2",130,30.5816,3975.6080
2021-05-01,A0519150208,"AQ Mforce Gen Y","Premium 2",182,30.5816,5565.8512
2021-06-01,A0519150208,"AQ Mforce Gen Y","Premium 2",94,30.5816,2874.6704
2021-08-01,A0519150208,"AQ Mforce Gen Y","Premium 2",64,30.5816,1957.2224
2020-09-01,A0619150301,"AQ Mforce Gen Z","Standard 1",51,30.4696,1553.9496
2020-10-01,A0619150301,"AQ Mforce Gen Z","Standard 1",45,30.4696,1371.1320
2020-12-01,A0619150301,"AQ Mforce Gen Z","Standard 1",84,30.4696,2559.4464
2021-01-01,A0619150301,"AQ Mforce Gen Z","Standard 1",123,30.4696,3747.7608
2021-02-01,A0619150301,"AQ Mforce Gen Z","Standard 1",32,30.4696,975.0272
2021-04-01,A0619150301,"AQ Mforce Gen Z","Standard 1",42,30.4696,1279.7232
2021-05-01,A0619150301,"AQ Mforce Gen Z","Standard 1",116,30.4696,3534.4736
2021-06-01,A0619150301,"AQ Mforce Gen Z","Standard 1",119,30.4696,3625.8824
2021-08-01,A0619150301,"AQ Mforce Gen Z","Standard 1",52,30.4696,1584.4192
2020-09-01,A0619150302,"AQ Mforce Gen Z","Standard 2",191,34.0973,6512.5843
2020-10-01,A0619150302,"AQ Mforce Gen Z","Standard 2",29,34.0973,988.8217
2020-12-01,A0619150302,"AQ Mforce Gen Z","Standard 2",235,34.0973,8012.8655
2021-01-01,A0619150302,"AQ Mforce Gen Z","Standard 2",27,34.0973,920.6271
2021-02-01,A0619150302,"AQ Mforce Gen Z","Standard 2",198,34.0973,6751.2654
2021-04-01,A0619150302,"AQ Mforce Gen Z","Standard 2",101,34.0973,3443.8273
2021-05-01,A0619150302,"AQ Mforce Gen Z","Standard 2",86,34.0973,2932.3678
2021-06-01,A0619150302,"AQ Mforce Gen Z","Standard 2",149,34.0973,5080.4977
2021-08-01,A0619150302,"AQ Mforce Gen Z","Standard 2",198,34.0973,6751.2654
2020-09-01,A0620150303,"AQ Mforce Gen Z","Standard 3",167,34.2412,5718.2804
2020-10-01,A0620150303,"AQ Mforce Gen Z","Standard 3",93,34.2412,3184.4316
2020-12-01,A0620150303,"AQ Mforce Gen Z","Standard 3",325,34.2412,11128.3900
2021-01-01,A0620150303,"AQ Mforce Gen Z","Standard 3",42,34.2412,1438.1304
2021-02-01,A0620150303,"AQ Mforce Gen Z","Standard 3",64,34.2412,2191.4368
2021-04-01,A0620150303,"AQ Mforce Gen Z","Standard 3",114,34.2412,3903.4968
2021-05-01,A0620150303,"AQ Mforce Gen Z","Standard 3",75,34.2412,2568.0900
2021-06-01,A0620150303,"AQ Mforce Gen Z","Standard 3",87,34.2412,2978.9844
2021-08-01,A0620150303,"AQ Mforce Gen Z","Standard 3",94,34.2412,3218.6728
2020-09-01,A0620150304,"AQ Mforce Gen Z","Plus 1",122,37.5826,4585.0772
2020-10-01,A0620150304,"AQ Mforce Gen Z","Plus 1",242,37.5826,9094.9892
2020-12-01,A0620150304,"AQ Mforce Gen Z","Plus 1",92,37.5826,3457.5992
2021-01-01,A0620150304,"AQ Mforce Gen Z","Plus 1",152,37.5826,5712.5552
2021-02-01,A0620150304,"AQ Mforce Gen Z","Plus 1",92,37.5826,3457.5992
2021-04-01,A0620150304,"AQ Mforce Gen Z","Plus 1",94,37.5826,3532.7644
2021-05-01,A0620150304,"AQ Mforce Gen Z","Plus 1",64,37.5826,2405.2864
2021-06-01,A0620150304,"AQ Mforce Gen Z","Plus 1",122,37.5826,4585.0772
2021-08-01,A0620150304,"AQ Mforce Gen Z","Plus 1",76,37.5826,2856.2776
2020-09-01,A0620150305,"AQ Mforce Gen Z","Plus 2",173,36.5679,6326.2467
2020-10-01,A0620150305,"AQ Mforce Gen Z","Plus 2",231,36.5679,8447.1849
2020-12-01,A0620150305,"AQ Mforce Gen Z","Plus 2",335,36.5679,12250.2465
2021-01-01,A0620150305,"AQ Mforce Gen Z","Plus 2",190,36.5679,6947.9010
2021-02-01,A0620150305,"AQ Mforce Gen Z","Plus 2",146,36.5679,5338.9134
2021-04-01,A0620150305,"AQ Mforce Gen Z","Plus 2",182,36.5679,6655.3578
2021-05-01,A0620150305,"AQ Mforce Gen Z","Plus 2",189,36.5679,6911.3331
2021-06-01,A0620150305,"AQ Mforce Gen Z","Plus 2",25,36.5679,914.1975
2021-08-01,A0620150305,"AQ Mforce Gen Z","Plus 2",28,36.5679,1023.9012
2020-09-01,A0620150306,"AQ Mforce Gen Z","Plus 3",182,37.5278,6830.0596
2020-10-01,A0620150306,"AQ Mforce Gen Z","Plus 3",231,37.5278,8668.9218
2020-12-01,A0620150306,"AQ Mforce Gen Z","Plus 3",332,37.5278,12459.2296
2021-01-01,A0620150306,"AQ Mforce Gen Z","Plus 3",79,37.5278,2964.6962
2021-02-01,A0620150306,"AQ Mforce Gen Z","Plus 3",142,37.5278,5328.9476
2021-04-01,A0620150306,"AQ Mforce Gen Z","Plus 3",56,37.5278,2101.5568
2021-05-01,A0620150306,"AQ Mforce Gen Z","Plus 3",84,37.5278,3152.3352
2021-06-01,A0620150306,"AQ Mforce Gen Z","Plus 3",182,37.5278,6830.0596
2021-08-01,A0620150306,"AQ Mforce Gen Z","Plus 3",122,37.5278,4578.3916
2020-09-01,A0621150307,"AQ Mforce Gen Z","Premium 1",177,36.2434,6415.0818
2020-10-01,A0621150307,"AQ Mforce Gen Z","Premium 1",47,36.2434,1703.4398
2020-12-01,A0621150307,"AQ Mforce Gen Z","Premium 1",352,36.2434,12757.6768
2021-01-01,A0621150307,"AQ Mforce Gen Z","Premium 1",126,36.2434,4566.6684
2021-02-01,A0621150307,"AQ Mforce Gen Z","Premium 1",50,36.2434,1812.1700
2021-04-01,A0621150307,"AQ Mforce Gen Z","Premium 1",165,36.2434,5980.1610
2021-05-01,A0621150307,"AQ Mforce Gen Z","Premium 1",138,36.2434,5001.5892
2021-06-01,A0621150307,"AQ Mforce Gen Z","Premium 1",57,36.2434,2065.8738
2021-08-01,A0621150307,"AQ Mforce Gen Z","Premium 1",120,36.2434,4349.2080
2020-09-01,A0621150308,"AQ Mforce Gen Z","Premium 2",166,39.3990,6540.2340
2020-10-01,A0621150308,"AQ Mforce Gen Z","Premium 2",235,39.3990,9258.7650
2020-12-01,A0621150308,"AQ Mforce Gen Z","Premium 2",343,39.3990,13513.8570
2021-01-01,A0621150308,"AQ Mforce Gen Z","Premium 2",188,39.3990,7407.0120
2021-02-01,A0621150308,"AQ Mforce Gen Z","Premium 2",101,39.3990,3979.2990
2021-04-01,A0621150308,"AQ Mforce Gen Z","Premium 2",154,39.3990,6067.4460
2021-05-01,A0621150308,"AQ Mforce Gen Z","Premium 2",78,39.3990,3073.1220
2021-06-01,A0621150308,"AQ Mforce Gen Z","Premium 2",184,39.3990,7249.4160
2021-08-01,A0621150308,"AQ Mforce Gen Z","Premium 2",140,39.3990,5515.8600
2020-09-01,A0721150401,"AQ GT 21",Standard,22,39.3377,865.4294
2020-10-01,A0721150401,"AQ GT 21",Standard,218,39.3377,8575.6186
